Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
25.02.2022;123,75000;130,50000;152,89000;115,11000;396287150
24.02.2022;187,54000;112,50000;185,95000;89,59000;829355880
22.02.2022;198,72000;211,00000;219,90000;182,03000;946020570
21.02.2022;249,15000;208,00000;257,12000;195,26000;1084508440
18.02.2022;262,13000;249,00000;265,70000;247,12000;270594740
17.02.2022;277,00000;261,05000;271,47000;259,36000;262088700
16.02.2022;276,88000;277,49000;281,00000;274,15000;195822410
15.02.2022;257,89000;270,21000;271,95000;259,06000;271518670
14.02.2022;256,69000;255,67000;259,50000;245,12000;357654570
11.02.2022;274,90000;266,60000;273,50000;264,99000;213954390
10.02.2022;279,20000;278,90000;282,30000;273,67000;180148360
09.02.2022;270,01000;279,37000;279,71000;272,63000;193575010
08.02.2022;257,60000;269,05000;269,27000;259,30000;161506220
07.02.2022;256,99000;256,69000;260,53000;253,52000;85586640
04.02.2022;251,99000;254,22000;259,74000;252,25000;127035170
03.02.2022;258,45000;252,71000;255,89000;250,06000;151173100
02.02.2022;265,88000;258,64000;265,99000;254,52000;170215080
01.02.2022;269,72000;262,60000;271,49000;261,61000;170396140
31.01.2022;258,98000;264,50000;268,67000;260,60000;156175080
28.01.2022;255,87000;257,28000;261,10000;252,02000;204180270
27.01.2022;235,00000;253,00000;260,00000;234,36000;301306340
26.01.2022;240,50000;239,28000;245,17000;233,30000;224840650
25.01.2022;237,00000;231,70000;243,55000;231,00000;232596970
24.01.2022;246,51000;234,82000;247,96000;226,00000;325829650
21.01.2022;252,99000;246,85000;259,08000;246,00000;295690670
20.01.2022;244,17000;260,00000;263,00000;240,01000;329113650
19.01.2022;232,90000;241,39000;249,00000;227,64000;360958990
18.01.2022;258,80000;231,00000;256,81000;228,09000;484056480
17.01.2022;262,15000;257,10000;261,70000;247,00000;248689250
14.01.2022;272,39000;255,00000;276,80000;249,20000;406253690
13.01.2022;289,56000;270,50000;290,30000;269,90000;211556190
12.01.2022;292,82000;289,72000;292,30000;285,05000;81822450
11.01.2022;293,40000;289,87000;292,88000;288,71000;58921530
10.01.2022;295,52000;288,95000;298,50000;288,74000;67426550
06.01.2022;286,60000;291,69000;295,10000;287,42000;79380930
05.01.2022;303,72000;297,83000;304,19000;297,06000;70017630
